query_id,hardness,query_text,ground_truth_count,system_response_count,precision,recall,f1_score,latency_seconds,ground_truth_pids,system_response_pids
EASY_01,easy,Show me products with a product weight of less than 250g that are packaged in a tube.,4,5,0.8,1.0,0.888888888888889,396.5287721157074,dd783a33bc94bef9c728611320d559e7;a18a23a783fb7576a8f0f6fbc2ae2b58;10d43b23591dde746f32fe6a7beb5bfb;e84fb20fe338824c220166d3cd562cbd,dd783a33bc94bef9c728611320d559e7;a18a23a783fb7576a8f0f6fbc2ae2b58;10d43b23591dde746f32fe6a7beb5bfb;e84fb20fe338824c220166d3cd562cbd;7a33d7a1a85cb7db38bacbcc212a6013
EASY_02,easy,List products with more than 4 photos available that are a smart watch.,1,1,1.0,1.0,1.0,126.55552220344543,ba17dd83b93da33a4483ba301644f40a,ba17dd83b93da33a4483ba301644f40a
EASY_03,easy,Find products with a product height of less than 10cm that are packaged in a jar,2,2,1.0,1.0,1.0,393.2874529361725,6bb81626d06fafb4d7eab61ac9ed70c6;012dd0e1c1f14325ee35f06748329355,6bb81626d06fafb4d7eab61ac9ed70c6;012dd0e1c1f14325ee35f06748329355
EASY_04,easy,Show me products with a product width of less than 15cm that are packaged in a dropper bottle.,2,2,1.0,1.0,1.0,720.4907851219177,7a33d7a1a85cb7db38bacbcc212a6013;13387d462f74993d258b62f8f85fd9b8,7a33d7a1a85cb7db38bacbcc212a6013;13387d462f74993d258b62f8f85fd9b8
EASY_05,easy,List products with a product weight between 400g and 600g that are a pocket watch,1,1,1.0,1.0,1.0,359.68746185302734,e0bbe6292471ff5ab3752414baf78111,e0bbe6292471ff5ab3752414baf78111
MEDIUM_01,medium,Show me all pocket watches from the watches_gifts category,10,10,1.0,1.0,1.0,804.967963218689,3e9b58f1436820c248d3f98d7229bb14;be1be330cf34043d1c40d6114cbd11b5;ce94e3c41145e28428cdae952a1fd7f2;723f62c36c298037716bf60c0ad0df3a;87fb220044e9aca16fbec51c6c997aa0;e0bbe6292471ff5ab3752414baf78111;a1b3a75aaaee5c9a683f2266c088f720;5e21d5cab5d33e770d8150a4ee6117db;80fc21f90a43fdcfc623f11f5457db10;d801448d8cf48fd15a66dc8779d47241,3e9b58f1436820c248d3f98d7229bb14;be1be330cf34043d1c40d6114cbd11b5;ce94e3c41145e28428cdae952a1fd7f2;723f62c36c298037716bf60c0ad0df3a;87fb220044e9aca16fbec51c6c997aa0;e0bbe6292471ff5ab3752414baf78111;a1b3a75aaaee5c9a683f2266c088f720;5e21d5cab5d33e770d8150a4ee6117db;80fc21f90a43fdcfc623f11f5457db10;d801448d8cf48fd15a66dc8779d47241
MEDIUM_02,medium,"List all products that come in a spray bottle from the health & beauty category, that are not perfumes",10,10,1.0,1.0,1.0,980.0411713123322,e3e020af31d4d89d2602272b315c3f6e;c5d8079278e912d7e3b6beb48ecb56e8;36555a2f528d7b2a255c504191445d39;e586ebb6022265ae1eea38f46ffe3ead;75b4372e69a42f8ae1d908c076f547b2;3569d4374a919941a50f57371b1dc93d;3a6a0247ced9dcb444b46caafdcdd368;adf591c625cb265c12bc6749d3a2f757;88d2c501ec765f5d7e8038fa6aab0e62;b29ca3d3127057c43ef4b364bbe360ea,e3e020af31d4d89d2602272b315c3f6e;c5d8079278e912d7e3b6beb48ecb56e8;36555a2f528d7b2a255c504191445d39;e586ebb6022265ae1eea38f46ffe3ead;75b4372e69a42f8ae1d908c076f547b2;3569d4374a919941a50f57371b1dc93d;3a6a0247ced9dcb444b46caafdcdd368;adf591c625cb265c12bc6749d3a2f757;88d2c501ec765f5d7e8038fa6aab0e62;b29ca3d3127057c43ef4b364bbe360ea
MEDIUM_03,medium,From the watches_gifts category find all kids' cartoon watches.,10,10,1.0,1.0,1.0,852.6996541023254,337be49673e511e2bd38d390cf57d7c4;4a9947ec1fcec2b3321193ed5590e8cb;148d27957e1653a2e9c8c3771f5a5a0f;a7f2b139c27a47d32a6ab4529c65c134;31d6f0a621ee145ae8c70304cf564483;1c0b635cee597371e54d222a1d8e0386;39fbb313b6c8c6cc28e358f37e3068c1;0751d46ff778c72973f67da627093303;6bebe9cd650ba6c55af91897a572e3d7;d248fe1e952b5b5d62572369cc23ac3c,337be49673e511e2bd38d390cf57d7c4;4a9947ec1fcec2b3321193ed5590e8cb;148d27957e1653a2e9c8c3771f5a5a0f;a7f2b139c27a47d32a6ab4529c65c134;31d6f0a621ee145ae8c70304cf564483;1c0b635cee597371e54d222a1d8e0386;39fbb313b6c8c6cc28e358f37e3068c1;0751d46ff778c72973f67da627093303;6bebe9cd650ba6c55af91897a572e3d7;d248fe1e952b5b5d62572369cc23ac3c
MEDIUM_04,medium,Show me health and beauty products ordered in October 2017 that are in a jar,2,3,1.0,1.0,1.0,93.53357005119324,3d649f0e12c7b5f9ec7e00f538cc13f3;7e437c1d65a7baab7e7ca6c9f4e98b84,3d649f0e12c7b5f9ec7e00f538cc13f3;7e437c1d65a7baab7e7ca6c9f4e98b84;7e437c1d65a7baab7e7ca6c9f4e98b84
MEDIUM_05,medium,List watches from the watches_gifts category paid for with a 'boleto' that have a metal bracelet.,3,49,0.6,1.0,0.7499999999999999,890.6802680492401,53b36df67ebb7c41585e8d54d6772e08;8d77b937d01f4d6ca31ea084ec26fced;0a2fff0d95ef3bbb7dffc618f9542ba9,53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;5e21d5cab5d33e770d8150a4ee6117db;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;8d77b937d01f4d6ca31ea084ec26fced;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;0a2fff0d95ef3bbb7dffc618f9542ba9;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;3e9b58f1436820c248d3f98d7229bb14;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08;53b36df67ebb7c41585e8d54d6772e08
HARD_01,hard,Show me health and beauty products ordered by customers from 'rio de janeiro' or 'sao paulo' that are packaged in a tube.,3,7,1.0,1.0,1.0,552.7415750026703,bc4a074ab7a7ff14e98fa64671a79dc0;c752f2bc46ad4b389290cf5828a1db62;a18a23a783fb7576a8f0f6fbc2ae2b58,bc4a074ab7a7ff14e98fa64671a79dc0;c752f2bc46ad4b389290cf5828a1db62;a18a23a783fb7576a8f0f6fbc2ae2b58;bc4a074ab7a7ff14e98fa64671a79dc0;bc4a074ab7a7ff14e98fa64671a79dc0;bc4a074ab7a7ff14e98fa64671a79dc0;bc4a074ab7a7ff14e98fa64671a79dc0
HARD_02,hard,Show me health and beauty products with a price greater than 100 that are packaged in a jar,2,2,1.0,1.0,1.0,512.6359188556671,2efbce46d36d9af306d4300db163b276;012dd0e1c1f14325ee35f06748329355,2efbce46d36d9af306d4300db163b276;012dd0e1c1f14325ee35f06748329355
HARD_03,hard,"Show me watches from the watches_gifts category, sold by sellers from the state of 'SP' that have a leather strap.",2,2,1.0,1.0,1.0,5787.017497777939,83ef44e104d09603c783f1cc00cff82a;06ae026e430189633c2fbd0288c86257,83ef44e104d09603c783f1cc00cff82a;06ae026e430189633c2fbd0288c86257
HARD_04,hard,"What are the products from the health_beauty category, that have a review score of 5 and come in a dropper bottle?",9,19,1.0,1.0,1.0,886.4918911457062,b3bcd6f54c943fecf8f51e0b988e5cc9;2a27bdf5d36c733df107a86e44370254;13387d462f74993d258b62f8f85fd9b8;50556c630443502c11acde1c320fe278;860dd3635c61aba2d7ddea90b7d471b2;7a33d7a1a85cb7db38bacbcc212a6013;c20e9c8a7361bfa0d6530ab73075921b;ae6476ef6cf588ccb0bd009b62359b97;dbbda25f6b7c74669cf2203b2e3139a0,2a27bdf5d36c733df107a86e44370254;13387d462f74993d258b62f8f85fd9b8;b3bcd6f54c943fecf8f51e0b988e5cc9;50556c630443502c11acde1c320fe278;b3bcd6f54c943fecf8f51e0b988e5cc9;860dd3635c61aba2d7ddea90b7d471b2;ae6476ef6cf588ccb0bd009b62359b97;c20e9c8a7361bfa0d6530ab73075921b;c20e9c8a7361bfa0d6530ab73075921b;b3bcd6f54c943fecf8f51e0b988e5cc9;b3bcd6f54c943fecf8f51e0b988e5cc9;860dd3635c61aba2d7ddea90b7d471b2;dbbda25f6b7c74669cf2203b2e3139a0;2a27bdf5d36c733df107a86e44370254;2a27bdf5d36c733df107a86e44370254;50556c630443502c11acde1c320fe278;ae6476ef6cf588ccb0bd009b62359b97;7a33d7a1a85cb7db38bacbcc212a6013;2a27bdf5d36c733df107a86e44370254
HARD_05,hard,"Give me the number of smart watches from the watches_gifts category, that were paid for with more than 3 installments.",5,0,0.0,0.0,0.0,19.154871940612793,d294bd539d8c70342149beb38b767afc;4e80e5fbd1f7a5e67501d0e1573abf98;f14aa2ba817ef24ccf7f99c0ccfab59a;b6b4ab44d1f3c2a645abbda76af2a993;28f71b48a5f99f0bcf4642ae10352557,
EXTRA_HARD_01,extra_hard,List smart watches from the watches & gifts category that were delivered to a customer in the state of 'RJ' and sold by a seller from the state of 'SP'.,3,3,1.0,1.0,1.0,1574.8103458881378,f14aa2ba817ef24ccf7f99c0ccfab59a;5b706747080dcd34b3ebd803c25ccd65;b6b4ab44d1f3c2a645abbda76af2a993,f14aa2ba817ef24ccf7f99c0ccfab59a;5b706747080dcd34b3ebd803c25ccd65;b6b4ab44d1f3c2a645abbda76af2a993
EXTRA_HARD_02,extra_hard,"Show me health and beauty products ordered in the first week of December 2017, paid for with a credit card in more than one installment, that are packaged in a dropper bottle.",2,2,1.0,1.0,1.0,84.27729320526123,b3bcd6f54c943fecf8f51e0b988e5cc9;13387d462f74993d258b62f8f85fd9b8,13387d462f74993d258b62f8f85fd9b8;b3bcd6f54c943fecf8f51e0b988e5cc9
EXTRA_HARD_03,extra_hard,Find kids watches from the watches & gifts category sold by sellers and customers both in 'sao paulo'.,3,3,1.0,1.0,1.0,190.44830799102783,4a9947ec1fcec2b3321193ed5590e8cb;a7f2b139c27a47d32a6ab4529c65c134;31d6f0a621ee145ae8c70304cf564483,4a9947ec1fcec2b3321193ed5590e8cb;a7f2b139c27a47d32a6ab4529c65c134;31d6f0a621ee145ae8c70304cf564483
EXTRA_HARD_04,extra_hard,Find me pocket watch from the 'watches_gifts' category that was paid for with 'boleto' and received a review score less than 3?,2,2,1.0,1.0,1.0,234.75423884391785,5e21d5cab5d33e770d8150a4ee6117db;3e9b58f1436820c248d3f98d7229bb14,3e9b58f1436820c248d3f98d7229bb14;5e21d5cab5d33e770d8150a4ee6117db
EXTRA_HARD_05,extra_hard,List the sellers who have sold at least one 'health_beauty' product that comes in a dropper bottle to a customer in the state of 'MG'.,4,5,1.0,1.0,1.0,333.25948786735535,8b2492b7ff4468839593fafeed55bad9;a06c8ff043abea0528ee44171e2140a2;620c87c171fb2a6dd6e8bb4dec959fc6;04308b1ee57b6625f47df1d56f00eedf,620c87c171fb2a6dd6e8bb4dec959fc6;a06c8ff043abea0528ee44171e2140a2;8b2492b7ff4468839593fafeed55bad9;04308b1ee57b6625f47df1d56f00eedf;620c87c171fb2a6dd6e8bb4dec959fc6
